record_id,dataset,sequence,frame_count,object_class,official_attributes,candidate_distractor_reason,potential_control_sequence_reason,inspection_basis,completeness,manager_review_status,notes
E2-OTB100-053,OTB100,Human2,1128,person,IV|SV|MB|OPR,Direct observation at the lower-middle fixed sample: several non-annotated seated people co-occur behind the standing person.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0564.jpg/1128.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1128; 1128 frames. GT mapping Human2/groundtruth_rect.txt has 1128 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-054,OTB100,Human3,1698,person,SV|OCC|DEF|OPR|BC,"Direct observation at the first and last fixed samples: other pedestrians co-occur, including a prominent foreground person.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0849.jpg/1698.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1698; 1698 frames. GT mapping Human3/groundtruth_rect.txt has 1698 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-055,OTB100,Human4_2,667,person,IV|SV|OCC|DEF,Direct observation at the first and lower-middle fixed samples: multiple runners/pedestrians co-occur at similar scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0334.jpg/0667.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-667; 667 frames. GT mapping Human4-2/groundtruth_rect.txt has 667 rows mapped sequentially. Local canonical images and GT text are readable. Figshare archive alias used for inspection: Human4/img and Human4/groundtruth_rect.2.txt.
E2-OTB100-056,OTB100,Human5,713,person,SV|OCC|DEF,,Direct observation in the fixed samples: one woman dominates; only a tiny distant person appears in the lower-middle view.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0357.jpg/0713.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-713; 713 frames. GT mapping Human5/groundtruth_rect.txt has 713 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-057,OTB100,Human6,792,person,SV|OCC|DEF|FM|OPR|OV,Direct observation at the first fixed sample: a second pedestrian is visible farther up the same sidewalk.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0396.jpg/0792.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-792; 792 frames. GT mapping Human6/groundtruth_rect.txt has 792 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-058,OTB100,Human7,250,person,IV|SV|OCC|DEF|MB|FM,,Direct observation in all fixed samples: one woman is visible on the walkway and no second person co-occurs.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0125.jpg/0250.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-250; 250 frames. GT mapping Human7/groundtruth_rect.txt has 250 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-059,OTB100,Human8,128,person,IV|SV|DEF,,Direct observation in all fixed samples: only one person is clearly resolvable; rocks and shadows are different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0064.jpg/0128.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-128; 128 frames. GT mapping Human8/groundtruth_rect.txt has 128 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-060,OTB100,Human9,305,person,IV|SV|DEF|MB|FM,,Direct observation in all fixed samples: one pedestrian recedes along the sidewalk; street furniture is a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0153.jpg/0305.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-305; 305 frames. GT mapping Human9/groundtruth_rect.txt has 305 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-061,OTB100,Ironman,166,person head,IV|SV|OCC|MB|FM|IPR|OPR|OV|BC|LR,Direct observation in all fixed samples: multiple non-annotated armored human figures and heads co-occur.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0083.jpg/0166.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-166; 166 frames. GT mapping Ironman/groundtruth_rect.txt has 166 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-062,OTB100,Jogging_1,307,person,OCC|DEF|OPR,Direct observation in all fixed samples: the second runner remains adjacent at virtually the same scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0154.jpg/0307.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-307; 307 frames. GT mapping Jogging-1/groundtruth_rect.txt has 307 rows mapped sequentially. Local canonical images and GT text are readable. Figshare archive alias used for inspection: Jogging/img and Jogging/groundtruth_rect.1.txt.
E2-OTB100-063,OTB100,Jogging_2,307,person,OCC|DEF|OPR,Direct observation in all fixed samples: the other runner remains adjacent at virtually the same scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0154.jpg/0307.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-307; 307 frames. GT mapping Jogging-2/groundtruth_rect.txt has 307 rows mapped sequentially. Local canonical images and GT text are readable. Figshare archive alias used for inspection: Jogging/img and Jogging/groundtruth_rect.2.txt.
E2-OTB100-064,OTB100,Jump,122,person,SV|OCC|DEF|MB|FM|IPR|OPR,,Direct observation in all fixed samples: one foreground pole vaulter is clearly resolved; spectators and officials are very distant.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0061.jpg/0122.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-122; 122 frames. GT mapping Jump/groundtruth_rect.txt has 122 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-065,OTB100,Jumping,313,face,MB|FM,,Direct observation in all fixed samples: one face/person is visible against foliage and a building.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0157.jpg/0313.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-313; 313 frames. GT mapping Jumping/groundtruth_rect.txt has 313 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-066,OTB100,KiteSurf,84,face,IV|OCC|IPR|OPR,,Direct observation in all fixed samples: one kite-surfer is isolated against open water.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0042.jpg/0084.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-84; 84 frames. GT mapping KiteSurf/groundtruth_rect.txt has 84 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-067,OTB100,Lemming,1336,other,IV|SV|OCC|FM|OPR|OV,Direct observation in the fixed samples: the annotated cartoon toy co-occurs with other plush or animal-like toys.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0668.jpg/1336.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1336; 1336 frames. GT mapping Lemming/groundtruth_rect.txt has 1336 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-068,OTB100,Liquor,1741,other,IV|SV|OCC|MB|FM|OPR|OV|BC,Direct observation at the lower-middle and last fixed samples: several miniature liquor bottles of comparable shape and scale co-occur.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0871.jpg/1741.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1741; 1741 frames. GT mapping Liquor/groundtruth_rect.txt has 1741 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-069,OTB100,Man,134,face,IV,,Direct observation in all fixed samples: one face is visible; office objects are different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0067.jpg/0134.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-134; 134 frames. GT mapping Man/groundtruth_rect.txt has 134 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-070,OTB100,Matrix,100,person head,IV|SV|OCC|FM|IPR|OPR|BC,"Direct observation in all fixed samples: a second adult male head/body is adjacent at comparable scale, with additional background faces.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0050.jpg/0100.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-100; 100 frames. GT mapping Matrix/groundtruth_rect.txt has 100 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-071,OTB100,Mhyang,1490,face,IV|DEF|OPR|BC,,Direct observation in all fixed samples: one face is isolated against a plain indoor background.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0745.jpg/1490.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1490; 1490 frames. GT mapping Mhyang/groundtruth_rect.txt has 1490 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-072,OTB100,MotorRolling,164,vehicle,IV|SV|MB|FM|IPR|BC|LR,,Direct observation at first and lower-middle fixed samples: one motorcycle is clear; the only second motorcycle is tiny and far away in the last view.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0082.jpg/0164.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-164; 164 frames. GT mapping MotorRolling/groundtruth_rect.txt has 164 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-073,OTB100,MountainBike,228,bicycle,IPR|OPR|BC,,Direct observation in all fixed samples: only the annotated bicycle is clearly resolvable; nearby people are a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0114.jpg/0228.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-228; 228 frames. GT mapping MountainBike/groundtruth_rect.txt has 228 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-074,OTB100,Panda,1000,mammal,SV|OCC|DEF|IPR|OPR|OV|LR,,"Direct observation in all fixed samples: the co-occurring elephant is strongly separated from the panda by species, silhouette, tone, and position.","Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0500.jpg/1000.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1000; 1000 frames. GT mapping Panda/groundtruth_rect.txt has 1000 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-075,OTB100,RedTeam,1918,vehicle,SV|OCC|IPR|OPR|LR,,Direct observation in all fixed samples: one small red vehicle is the only clearly resolved vehicle of its kind.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0959.jpg/1918.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1918; 1918 frames. GT mapping RedTeam/groundtruth_rect.txt has 1918 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-076,OTB100,Rubik,1997,other,SV|OCC|IPR|OPR,,Direct observation in all fixed samples: one colored puzzle cube is visible; hands and background objects are different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0999.jpg/1997.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1997; 1997 frames. GT mapping Rubik/groundtruth_rect.txt has 1997 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-077,OTB100,Shaking,365,face,IV|SV|IPR|OPR|BC,"Direct observation in the fixed samples: several band-member faces co-occur, including foreground faces at comparable scale.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0183.jpg/0365.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-365; 365 frames. GT mapping Shaking/groundtruth_rect.txt has 365 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-078,OTB100,Singer1,351,person,IV|SV|OCC|OPR,"Direct observation in the fixed samples: other singers, musicians, and audience members co-occur, including performers at similar scale.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0176.jpg/0351.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-351; 351 frames. GT mapping Singer1/groundtruth_rect.txt has 351 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-079,OTB100,Singer2,366,person,IV|DEF|IPR|OPR|BC,Direct observation in the fixed samples: band members and crowd people co-occur behind the annotated singer.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0183.jpg/0366.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-366; 366 frames. GT mapping Singer2/groundtruth_rect.txt has 366 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-080,OTB100,Skater,160,person,SV|DEF|IPR|OPR,,Direct observation in all fixed samples: one skater is isolated on open ice.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0080.jpg/0160.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-160; 160 frames. GT mapping Skater/groundtruth_rect.txt has 160 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-081,OTB100,Skater2,435,person,SV|DEF|FM|IPR|OPR,,Direct observation in all fixed samples: one skater is isolated on open ice; spectators remain indistinct.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0218.jpg/0435.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-435; 435 frames. GT mapping Skater2/groundtruth_rect.txt has 435 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-082,OTB100,Skating1,400,person,IV|SV|OCC|DEF|OPR|BC,"Direct observation in all fixed samples: multiple non-annotated skaters co-occur at similar scale, several in similar dark costumes.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0200.jpg/0400.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-400; 400 frames. GT mapping Skating1/groundtruth_rect.txt has 400 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-083,OTB100,Skating2_1,473,person,SV|OCC|DEF|FM|OPR,Direct observation in all fixed samples: the paired skater is adjacent at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0237.jpg/0473.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-473; 473 frames. GT mapping Skating2-1/groundtruth_rect.txt has 473 rows mapped sequentially. Local canonical images and GT text are readable. Figshare archive alias used for inspection: Skating2/img and Skating2/groundtruth_rect.1.txt.
E2-OTB100-084,OTB100,Skating2_2,473,person,SV|OCC|DEF|FM|OPR,Direct observation in all fixed samples: the paired skater is adjacent at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0237.jpg/0473.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-473; 473 frames. GT mapping Skating2-2/groundtruth_rect.txt has 473 rows mapped sequentially. Local canonical images and GT text are readable. Figshare archive alias used for inspection: Skating2/img and Skating2/groundtruth_rect.2.txt.
E2-OTB100-085,OTB100,Skiing,81,person,IV|SV|DEF|IPR|OPR,,Direct observation in all fixed samples: one bright-red skier is clearly resolvable against snow.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0041.jpg/0081.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-81; 81 frames. GT mapping Skiing/groundtruth_rect.txt has 81 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-086,OTB100,Soccer,392,face,IV|SV|OCC|MB|FM|IPR|OPR|BC,"Direct observation in all fixed samples: numerous footballers' faces co-occur at comparable scale, many in near-identical red kit.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0196.jpg/0392.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-392; 392 frames. GT mapping Soccer/groundtruth_rect.txt has 392 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-087,OTB100,Subway,175,person,OCC|DEF|BC,Direct observation in all fixed samples: corridor pedestrians co-occur at comparable scale and depth.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0088.jpg/0175.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-175; 175 frames. GT mapping Subway/groundtruth_rect.txt has 175 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-088,OTB100,Surfer,376,person head,SV|FM|IPR|OPR|LR,,Direct observation in all fixed samples: one surfer/head is isolated against open water.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0188.jpg/0376.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-376; 376 frames. GT mapping Surfer/groundtruth_rect.txt has 376 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-089,OTB100,Suv,945,car,OCC|IPR|OV,Direct observation at the first fixed sample: gray cars flank the annotated white SUV at closely comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0473.jpg/0945.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-945; 945 frames. GT mapping Suv/groundtruth_rect.txt has 945 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-090,OTB100,Sylvester,1345,other,IV|IPR|OPR,,"Direct observation in all fixed samples: one stuffed cat toy is visible; hand, plant, and desk objects are different.","Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0673.jpg/1345.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1345; 1345 frames. GT mapping Sylvester/groundtruth_rect.txt has 1345 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-091,OTB100,Tiger1,349,other,IV|OCC|DEF|MB|FM|IPR|OPR,,"Direct observation in all fixed samples: one plush tiger is visible; plant, hand, and monitor are different.","Direct observation: fixed canonical first/lower-middle/last JPGs 0006.jpg/0180.jpg/0354.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 6-354 after initOmit=5; 349 frames. GT mapping Tiger1/groundtruth_rect.txt has 354 rows; rows 6-354 are retained. Local canonical images and GT text are readable.
E2-OTB100-092,OTB100,Tiger2,365,other,IV|OCC|DEF|MB|FM|IPR|OPR|OV,,"Direct observation in all fixed samples: one plush tiger is visible; plant, hand, and monitor are different.","Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0183.jpg/0365.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-365; 365 frames. GT mapping Tiger2/groundtruth_rect.txt has 365 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-093,OTB100,Toy,271,other,SV|FM|IPR|OPR,,Direct observation in all fixed samples: one small figurine is visible; hand and office furnishings are different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0136.jpg/0271.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-271; 271 frames. GT mapping Toy/groundtruth_rect.txt has 271 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-094,OTB100,Trans,124,other,IV|SV|OCC|DEF,,Direct observation in all fixed samples: no comparable second robot/vehicle is visible; nearby people have a different silhouette and class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0062.jpg/0124.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-124; 124 frames. GT mapping Trans/groundtruth_rect.txt has 124 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-095,OTB100,Trellis,569,face,IV|SV|IPR|OPR|BC,,Direct observation in all fixed samples: one face/person is visible; passing vehicles and architecture are different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0285.jpg/0569.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-569; 569 frames. GT mapping Trellis/groundtruth_rect.txt has 569 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-096,OTB100,Twinnings,472,other,SV|OPR,,"Direct observation in all fixed samples: one tea box/carton is visible; chairs, desks, and cabinets are different.","Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0236.jpg/0472.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-472; 472 frames. GT mapping Twinnings/groundtruth_rect.txt has 472 rows mapped sequentially. Local canonical images and GT text are readable. The last canonical GT row is 0 0 0 0; the row remains present and readable.
E2-OTB100-097,OTB100,Vase,271,other,SV|FM|IPR,,"Direct observation in all fixed samples: one decorated pen cup is clearly distinct in shape, graphics, and position from other containers.","Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0136.jpg/0271.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-271; 271 frames. GT mapping Vase/groundtruth_rect.txt has 271 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-098,OTB100,Walking,412,person,SV|OCC|DEF,"Direct observation at the first and lower-middle fixed samples: other pedestrians, including similarly dressed men, co-occur at similar scale.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0206.jpg/0412.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-412; 412 frames. GT mapping Walking/groundtruth_rect.txt has 412 rows mapped sequentially. Local canonical images and GT text are readable. The attribute JSON has an empty trailing list item; it is omitted because it is not a named attribute.
E2-OTB100-099,OTB100,Walking2,500,person,SV|OCC|LR,Direct observation at the first and lower-middle fixed samples: multiple corridor pedestrians co-occur with similar upright silhouettes.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0250.jpg/0500.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-500; 500 frames. GT mapping Walking2/groundtruth_rect.txt has 500 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-100,OTB100,Woman,597,person,IV|SV|OCC|DEF|MB|FM|OPR,,Direct observation in all fixed samples: one woman is visible; several cars co-occur but are a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0299.jpg/0597.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-597; 597 frames. GT mapping Woman/groundtruth_rect.txt has 597 rows mapped sequentially. Local canonical images and GT text are readable.
